Igra,Min. st. igralcev,Max. st. igralcev,Min cas,Max. cas,Leto izdaje,Min. starost,Ocena,Osnova/Dodatek
"Robinson Crusoe: Adventures on the Cursed Island – ""Time Travel"" Scenario,1,4,60,120,2018,8,9,Robinson Crusoe: Adventures on the Cursed Island
Robinson Crusoe: Adventures on the Cursed Island – Hunting Adventures,1,4,60,120,2018,14,8.91,Robinson Crusoe: Adventures on the Cursed Island
Robinson Crusoe: Adventures on the Cursed Island – In-Store Event Kit,1,4,,,2018,,9.94,Robinson Crusoe: Adventures on the Cursed Island
Robinson Crusoe: Adventures on the Cursed Island – Mystery Cards I,1,4,90,180,2018,14,8,Robinson Crusoe: Adventures on the Cursed Island
Robinson Crusoe: Adventures on the Cursed Island – Shelter Upgrades,1,4,60,120,2018,8,7.92,Robinson Crusoe: Adventures on the Cursed Island
Robinson Crusoe: Adventures on the Cursed Island – Event Cards,1,4,90,180,2017,14,9.21,Robinson Crusoe: Adventures on the Cursed Island
Robinson Crusoe: Adventures on the Cursed Island – Herb Garden and Pen,1,4,60,120,2017,8,9.44,Robinson Crusoe: Adventures on the Cursed Island
The Voyages of Marco Polo: The Secret Paths of Marco Polo,2,4,40,100,2018,12,9.54,The Voyages of Marco Polo
The Voyages of Marco Polo: Agents of Venice,2,5,,,2017,,9,The Voyages of Marco Polo
The Voyages of Marco Polo: The New Characters,2,4,40,100,2015,12,8.54,The Voyages of Marco Polo
Downfall (Fan expansion for Android: Netrunner),2,2,,,2019,,8.94,Android: Netrunner
Android: Netrunner – Council of the Crest,2,2,45,,2018,14,8.15,Android: Netrunner
Android: Netrunner – Down the White Nile,2,2,30,60,2018,14,7.73,Android: Netrunner
Android: Netrunner – Kampala Ascendent,2,2,30,60,2018,14,9.34,Android: Netrunner
Android: Netrunner – Magnum Opus cards,2,2,45,,2018,,8.97,Android: Netrunner
Android: Netrunner – Reign and Reverie,2,2,30,60,2018,14,9.91,Android: Netrunner
Android: Netrunner – The Devil and the Dragon,2,2,30,60,2018,14,7.55,Android: Netrunner
Android: Netrunner – Whispers in Nalubaale,2,2,30,60,2018,14,8.86,Android: Netrunner
Android: Netrunner – Blood and Water,2,2,45,,2017,14,7.56,Android: Netrunner
Android: Netrunner – Crimson Dust,,,,,2017,,9.75,Android: Netrunner
7 Wonders: Armada,3,7,40,,2018,10,9.07,7 Wonders
7 Wonders: Babel,2,7,45,,2014,10,7.57,7 Wonders
Collection (fan expansion for 7 Wonders),2,9,45,,2014,,8.09,7 Wonders
7 Wonders: Wonder Pack,2,7,30,,2013,10,8.12,7 Wonders
Empires (fan expansion for 7 Wonders),3,8,60,,2013,,8.29,7 Wonders
Game Wonders (fan expansion for 7 Wonders),2,8,30,,2013,10,8,7 Wonders
7 Wonders: Cities,2,8,40,,2012,10,7.47,7 Wonders
Lost Wonders (fan expansion for 7 Wonders),2,8,30,,2012,10,8.98,7 Wonders
More Wonders... (fan expansion for 7 Wonders),2,7,30,,2012,10,9.91,7 Wonders
Myths (fan expansion for 7 Wonders),2,8,45,,2012,10,9,7 Wonders
Brettspiel Adventskalender 2018,,,,,2018,,7.22,Keyflower
Keyflower: Boat 7,2,6,60,120,2018,14,9.59,Keyflower
Keyflower: Delivery Man,2,6,90,12,2018,12,7.97,Keyflower
Keyflower: Developer,2,6,90,120,2018,14,7.98,Keyflower
Keyflower: Sorcerer,2,6,60,120,2018,14,9.98,Keyflower
Keyflower: Keymelequin,2,6,90,120,2016,14,9.91,Keyflower
Keyflower: Pig Shelter,2,6,90,120,2015,12,9.99,Keyflower
Keyflower: Beekeeper,2,6,90,,2014,14,8,Keyflower
Keyflower: The Merchants,2,6,90,,2014,14,8.38,Keyflower
Keyflower: Trader,2,6,90,,2014,14,7.64,Keyflower
Anachrony: Fractures of Time,1,4,90,150,2019,15,9  ,Anachrony
Anachrony: The Sentry Post,1,4,30,120,2018,15,9.32,Anachrony
Anachrony: Doomsday Enhancement Pack,1,4,60,120,2017,,8,Anachrony
Anachrony: Exosuit Commander Pack,1,4,60,120,2017,15,8.59,Anachrony
Race for the Galaxy: Retrofit Cards,1,5,60,,2019,12,8.86,Race for the Galaxy
Race for the Galaxy: New Worlds Promo,1,5,60,,2017,12,9.05,Race for the Galaxy
Race for the Galaxy: Xeno Invasion,2,5,30,60,2015,13,8.79,Race for the Galaxy
Patronage (fan expansion to Race for the Galaxy),2,4,,,2013,,8,Race for the Galaxy
Race for the Galaxy: Alien Artifacts,2,5,45,,2013,13,8.19,Race for the Galaxy
Race for the Galaxy: The Brink of War,1,6,60,,2010,12,9.07,Race for the Galaxy
Race for the Galaxy: Rebel vs Imperium,1,6,60,,2009,12,9.66,Race for the Galaxy
Race for the Galaxy: The Gathering Storm,1,5,60,,2008,12,9,Race for the Galaxy
Caylus Expansion: The Jeweller,2,5,120,,2005,,7.23,Caylus
Root: The Exiles and Partisans Deck,2,6,,,2019,13,9,Root
Root: The Underworld Expansion,2,4,60,90,2019,10,8.82,Root
Root: The Riverfolk Expansion,1,6,60,90,2018,10,8.11,Root
Fields of Arle: New Travel Destination – Aachen,1,2,60,150,2018,12,9.72,Fields of Arle
Fields of Arle: New Travel Destination – Bad Wörishofen,1,2,60,150,2018,12,9.07,Fields of Arle
Fields of Arle: New Travel Destination – Baden,1,2,60,150,2018,12,9.75,Fields of Arle
Fields of Arle: New Travel Destination – Baltrum,1,2,60,150,2018,12,7.56,Fields of Arle
Fields of Arle: New Travel Destination – Kaiserslautern,1,2,60,150,2018,12,7.38,Fields of Arle
Fields of Arle: New Travel Destination – Würzburg,1,2,60,150,2018,12,8,Fields of Arle
Fields of Arle: New Travel Destination – Zürich,1,2,60,150,2018,12,9.85,Fields of Arle
Fields of Arle: New Travel Destination – Ahrweiler,1,2,60,150,2017,12,7.98,Fields of Arle
Fields of Arle: New Travel Destination – Arle,1,2,60,150,2017,12,8.08,Fields of Arle
Fields of Arle: New Travel Destination – Basel,1,2,60,150,2017,12,7.54,Fields of Arle
Lords of Waterdeep: Rapid Expansion Promo Card,2,5,60,120,2013,8,7.53,Lords of Waterdeep
Lords of Waterdeep: Scoundrels of Skullport,2,6,60,,2013,12,8.02,Lords of Waterdeep
Lords of Waterdeep: Inevitable Betrayal Promo Card,2,5,60,,2012,12,9.05,Lords of Waterdeep
Rising Sun: Stronghold Pack,3,6,90,120,2019,14,9.57,Rising Sun
Raging Sun (fan expansion to Rising Sun),3,6,90,120,2018,14,7.91,Rising Sun
Rising Sun: Daimyo Box,3,6,90,120,2018,13,7,Rising Sun
Rising Sun: Dynasty Invasion,3,6,90,120,2018,14,9.25,Rising Sun
Rising Sun: Kami Unbound,3,5,90,120,2018,14,7.95,Rising Sun
Rising Sun: Monster Pack,3,5,90,120,2018,14,9.28,Rising Sun
Twilight Imperium (Third Edition): Shards of the Throne,3,8,180,240,2011,14,8,Twilight Imperium (Third Edition)
Twilight Imperium (Third Edition): Shattered Empire,3,8,240,,2006,12,7.36,Twilight Imperium (Third Edition)
Five Tribes: Galbells,2,4,60,,2017,13,7.42,Five Tribes
Five Tribes: Whims of the Sultan,2,5,40,90,2017,13,9.41,Five Tribes
Five Tribes: The Thieves of Naqala,2,4,40,80,2016,13,8.87,Five Tribes
Five Tribes: The Artisans of Naqala,2,4,40,80,2015,13,7.68,Five Tribes
Five Tribes: Wilwit,2,4,60,,2015,13,9.89,Five Tribes
Five Tribes: Dhenim,2,4,60,,2014,13,9.94,Five Tribes
Eldritch Horror: Masks of Nyarlathotep,1,8,120,240,2018,14,9.94,Eldritch Horror
Eldritch Horror: Cities in Ruin,1,8,120,240,2017,14,9.94,Eldritch Horror
Eldritch Horror: The Dreamlands,1,8,120,240,2017,14,7.22,Eldritch Horror
Eldritch Horror: Signs of Carcosa,1,8,120,240,2016,14,9.73,Eldritch Horror
Eldritch Horror: Strange Remnants,1,8,120,240,2015,14,8.69,Eldritch Horror
Eldritch Horror: Under the Pyramids,1,8,180,,2015,14,8.76,Eldritch Horror
Eldritch Horror: Forsaken Lore,1,8,180,,2014,14,8,Eldritch Horror
Eldritch Horror: Mountains of Madness,1,8,180,,2014,14,9.86,Eldritch Horror
The El Grande Expansions,2,5,90,,2000,12,7.24,El Grande
El Grande: Grandissimo,2,5,90,,2000,12,8.99,El Grande
El Grande: König & Intrigant – Players Edition,2,5,120,,1998,12,9,El Grande
El Grande: Grossinquisitor und Kolonien,2,5,90,,1997,12,9.15,El Grande
El Grande: König & Intrigant,2,5,90,,1997,12,8.53,El Grande
El Grande: König & Intrigant – Unverkäufliche Sonderkarten,2,5,,,1997,12,8.62,El Grande
Brettspiel Adventskalender 2018,,,,,2018,,8.95,Codenames
Codenames: Bonuskaarten 2018,2,8,15,30,2018,14,8.63,Codenames
Codenames: Cartes promo – Univers Geek,2,8,15,30,2018,12,8.26,Codenames
Tajniacy: Obcy Agenci,2,8,15,,2018,14,8.15,Codenames
Codenames: Bonus Pack – Board Gaming (English),2,8,15,,2017,,7.77,Codenames
Fedőnevek: Magyar bónusz csomag,2,8,15,,2017,14,9.31,Codenames
Tajniacy: Nowi Agenci,2,8,15,30,2017,14,9.17,Codenames
Tajniacy: Sami Nieswoi,2,8,15,30,2017,14,8.78,Codenames
Codenames: Authors & Games,2,8,15,,2016,14,9.08,Codenames
Codenames: Bonus Pack – Board Gaming (German),2,8,15,,2016,14,8.58,Codenames
Clank! Legacy: Acquisitions Incorporated – Upper Management Pack,2,4,30,60,2019,12,8.17,Clank!: A Deck-Building Adventure
Clank! Expeditions: Gold and Silk,2,4,30,60,2018,12,8.16,Clank!: A Deck-Building Adventure
Clank!: Expedition Leader,2,4,30,60,2018,12,7.94,Clank!: A Deck-Building Adventure
Clank!: The Mummys Curse,2,4,30,60,2018,12,9.62,Clank!: A Deck-Building Adventure
Clank!: Wand of Time,2,4,30,60,2018,12,9.77,Clank!: A Deck-Building Adventure
Brettspiel Adventskalender 2017,,,,,2017,,8.17,Clank!: A Deck-Building Adventure
Clank!: Brawn vs. Boots,2,4,30,60,2017,12,8.18,Clank!: A Deck-Building Adventure
Clank!: Enchanted Dice,1,4,30,60,2017,,7.63,Clank!: A Deck-Building Adventure
Clank!: Friendly Watcher,2,4,30,60,2017,12,8.63,Clank!: A Deck-Building Adventure
Clank!: Magic Spectacles,1,4,30,60,2017,12,9.08,Clank!: A Deck-Building Adventure
Dominion: Renaissance,2,4,30,,2018,14,8.78,Dominion: Intrigue
Dominion: Dismantle Promo Card,2,4,30,,2017,13,8.76,Dominion: Intrigue
Dominion: Erweiterung – Basisspiel & Die Intrige,2,4,,,2017,,9.47,Dominion: Intrigue
Dominion: Nocturne,2,6,30,,2017,14,9.81,Dominion: Intrigue
Pirates Life (Fan Expansion to Dominion),2,4,30,,2017,13,8.39,Dominion: Intrigue
Dominion: Empires,2,4,30,,2016,14,7.96,Dominion: Intrigue
Dominion: Höflinge Promo Card,2,6,30,,2016,10,9,Dominion: Intrigue
Dominion: Intrigue Update Pack,2,4,30,,2016,,8.63,Dominion: Intrigue
Dominion: Sauna / Avanto Promo Card,2,4,30,,2016,13,7.76,Dominion: Intrigue
Dominion: Adventures,2,4,30,,2015,14,8.79,Dominion: Intrigue
The Gallerist: Scoring Expansion,1,4,60,150,2019,12,9.35,The Gallerist
The Gallerist: KS Stretch Goal Pack #2,1,4,,,2015,13,9.64,The Gallerist
Patchwork: Automa,1,1,15,30,2018,,7.55,Patchwork
Patchwork: 5x5 Bonuskarte,2,2,15,30,2017,8,9.14,Patchwork
Special Buttons (fan-expansion for Patchwork),2,4,25,45,2016,8,9.32,Patchwork
Deutscher Spielepreis 2016 Goodie Box,,,,,2016,,8.52,Mombasa
Mombasa: Cooked Books Mini Expansion,2,4,75,150,2016,12,8.21,Mombasa
Mombasa: E1/E2 Company Track,2,4,75,150,2015,12,9.23,Mombasa
Battlestar Galactica: The Board Game – Daybreak Expansion,3,7,180,,2013,14,8.69,Battlestar Galactica: The Board Game
Battlestar Galactica: The Board Game – Exodus Expansion,3,6,180,,2010,13,7.96,Battlestar Galactica: The Board Game
Battlestar Galactica: The Board Game – Pegasus Expansion,3,7,180,,2009,13,7.41,Battlestar Galactica: The Board Game
Battlestar Galactica: Official Variant Rules,1,6,120,,2008,10,7.71,Battlestar Galactica: The Board Game
Roll for the Galaxy: Rivalry,2,5,30,60,2019,14,7.99,Roll for the Galaxy
Roll for the Galaxy: Bountiful Gaming Grid Promo Tile,2,5,45,,2016,13,7,Roll for the Galaxy
Roll for the Galaxy: Terraforming Colony/Diversified Economy Promo Tile,2,5,45,,2016,13,7.56,Roll for the Galaxy
Roll for the Galaxy: Ambition,2,5,30,60,2015,14,8.92,Roll for the Galaxy
Sherlock Holmes Consulting Detective: Murder Behind Closed Doors,1,8,,,2015,,8,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
Sherlock Holmes Détective Conseil: LHomme Sans Visage,1,8,60,,2014,12,9.54,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
Sherlock Holmes Détective Conseil: Les Masques Africains,1,8,150,,2013,,8.27,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
Laffaire Diavolo (Fan expansion for Sherlock Holmes Détective Conseil),1,8,,,2012,12,9.42,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
Sherlock Holmes Consulente Investigativo: Il Mistero dellImpiccato,1,8,60,,2012,12,8.33,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
Sherlock Holmes Détective Conseil: La Piste Tordue,1,6,120,,2012,12,7.53,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
Sherlock Holmes Détective Conseil: La rançon du diable,1,6,120,,2012,12,7,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
Sherlock Holmes Détective Conseil: Octobre 1891,1,8,,,1991,,7.76,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
Sherlock Holmes Détective Conseil: Oliver Stone,1,8,,,1990,,9.05,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
Sherlock Holmes Consulting Detective: Adventures by Gaslight,1,6,180,,1986,10,9.04,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
Troyes: The Ladies of Troyes,2,4,90,,2012,13,9.62,Troyes
Troyes: Bonus Cards,2,4,90,,2011,12,9,Troyes
Antic (fan expansion for T.I.M.E Stories),3,4,120,240,2019,10,8.23,T.I.M.E Stories
T.I.M.E Stories: Madame,2,4,90,,2019,12,7.82,T.I.M.E Stories
T.I.M.E. Stories Revolution: The Hadal Project,2,4,90,,2019,14,7.21,T.I.M.E Stories
La Cavale des Daltons (fan expansion for T.I.M.E Stories),3,4,45,90,2018,10,9.29,T.I.M.E Stories
City of Souls (fan expansion for T.I.M.E Stories),2,4,,,2018,,9.06,T.I.M.E Stories
Dilemma (fan expansion for T.I.M.E Stories),2,4,,,2018,,8.89,T.I.M.E Stories
Dreamland (fan expansion for T.I.M.E Stories),2,4,,,2018,,9.13,T.I.M.E Stories
Geologists (fan expansion for T.I.M.E Stories),3,4,120,240,2018,10,7.71,T.I.M.E Stories
Hora fugit facta manent (fan expansion for T.I.M.E. Stories),2,4,300,540,2018,,8.74,T.I.M.E Stories
La manufacture Lilienfeld (fan expansion for T.I.M.E Stories),2,4,,,2018,,9.21,T.I.M.E Stories
Russian Railroads: Juri Dreigleisky,2,4,90,120,2017,12,8.93,Russian Railroads
Russian Railroads: American Railroads,2,4,90,120,2016,12,8.91,Russian Railroads
Russian Railroads: German Railroads,1,4,90,120,2015,12,9,Russian Railroads
Russian Railroads: Mini-Expansion,2,4,90,,2014,12,7.55,Russian Railroads
Euphrat & Tigris: Die Zikkurat,2,4,90,,2009,12,9.26,Tigris & Euphrates
Star Wars: X-Wing Miniatures Game – Saws Renegades Expansion Pack,2,4,30,45,2018,14,9.92,Star Wars: X-Wing Miniatures Game
Star Wars: X-Wing Miniatures Game – TIE Reaper Expansion Pack,2,4,30,45,2018,14,8.41,Star Wars: X-Wing Miniatures Game
Star Wars: X-Wing Miniatures Game – Alpha-Class Star Wing Expansion Pack,2,2,45,,2017,14,8.82,Star Wars: X-Wing Miniatures Game
Star Wars: X-Wing Miniatures Game – Auzituck Gunship Expansion Pack,2,4,30,45,2017,14,7,Star Wars: X-Wing Miniatures Game
Star Wars: X-Wing Miniatures Game – C-ROC Cruiser Expansion Pack,2,4,30,45,2017,14,8.11,Star Wars: X-Wing Miniatures Game
Star Wars: X-Wing Miniatures Game – Guns for Hire Expansion Pack,2,2,,,2017,14,7.91,Star Wars: X-Wing Miniatures Game
Star Wars: X-Wing Miniatures Game – M12-L Kimogila Fighter Expansion Pack,2,2,45,,2017,14,7,Star Wars: X-Wing Miniatures Game
Star Wars: X-Wing Miniatures Game – Phantom II Expansion Pack,2,2,45,,2017,14,7.81,Star Wars: X-Wing Miniatures Game
Star Wars: X-Wing Miniatures Game – Resistance Bomber Expansion Pack,2,4,30,45,2017,14,10 ,Star Wars: X-Wing Miniatures Game
Star Wars: X-Wing Miniatures Game – Scurrg H-6 Bomber Expansion Pack,2,4,30,45,2017,14,9.14,Star Wars: X-Wing Miniatures Game
Pandemic: Gen Con 2016 Promos – Z-Force Team Member/Game Convention,1,4,30,60,2016,8,8.14,Pandemic
Pandemic: Survival Promos – Crisis Mitigator/Relocation Specialist,1,4,30,60,2016,8,8.54,Pandemic
Pandemic: Promo Roles,2,4,45,,2015,8,8.11,Pandemic
Pandemic: State of Emergency,2,4,45,,2015,13,8.41,Pandemic
Pandemic: In the Lab,1,6,45,60,2013,8,9.86,Pandemic
Pandemic: On the Brink,2,5,45,,2009,8,8.73,Pandemic
"Pandemie: Uitbreiding ""De Generalist"",2,5,45,,2009,10,9.68,Pandemic
Dominion: Renaissance,2,4,30,,2018,14,9.49,Dominion
Dominion: Dismantle Promo Card,2,4,30,,2017,13,9.69,Dominion
Dominion: Erweiterung – Basisspiel & Die Intrige,2,4,,,2017,,7.94,Dominion
Dominion: Nocturne,2,6,30,,2017,14,7.45,Dominion
Pirates Life (Fan Expansion to Dominion),2,4,30,,2017,13,9.45,Dominion
Animals expansion (mini fan expansion for Dominion),2,6,30,60,2016,8,8.99,Dominion
Dominion: Empires,2,4,30,,2016,14,8.07,Dominion
Dominion: Höflinge Promo Card,2,6,30,,2016,10,7.56,Dominion
Dominion: Intrigue (Second Edition),2,4,30,,2016,14,9.54,Dominion
Dominion: Intrigue Update Pack,2,4,30,,2016,,9.82,Dominion
Dead of Winter: Giggles,2,5,100,,2019,13,8.48,Dead of Winter: A Crossroads Game
Dead of Winter: A Crossroads Game – BGG Crossroads Promo,2,5,45,210,2017,14,8.18,Dead of Winter: A Crossroads Game
Dead of Winter: KD James,2,5,100,,2017,13,7.52,Dead of Winter: A Crossroads Game
Dead of Winter: Meryl Wolfe,2,5,100,,2017,13,8,Dead of Winter: A Crossroads Game
Dead of Winter: Ruckus Burley,2,5,,,2017,13,8.68,Dead of Winter: A Crossroads Game
Dead of Winter: Warring Colonies,4,11,45,120,2017,12,8.63,Dead of Winter: A Crossroads Game
Dead of Winter: Rich Sommer,2,5,100,,2016,13,7.64,Dead of Winter: A Crossroads Game
Dead of Winter: Rodney Smith,2,5,100,,2016,13,7.84,Dead of Winter: A Crossroads Game
Dead of Winter: Andrea Smith,2,5,100,,2015,12,7.76,Dead of Winter: A Crossroads Game
Dead of Winter: Dice Tower Crossroads Promo,2,5,100,,2015,13,8,Dead of Winter: A Crossroads Game
Kemet: Seth,3,6,90,120,2018,14,8.91,Kemet
Kemet: Dice Tower Promo 2016,2,5,60,120,2016,14,8.62,Kemet
Kemet: New Power Tiles,2,5,60,120,2015,14,8.59,Kemet
Kemet: Skills and Black Power Tile For Ta-Seti,2,5,60,120,2015,14,8.39,Kemet
Kemet: Ta-Seti,2,5,60,90,2015,14,9.64,Kemet
C3K: Creatures Crossover Cyclades/Kemet,2,5,90,,2013,13,8.79,Kemet
Agricola: Corbarius Deck,1,6,60,120,2019,12,9.01,Agricola (Revised Edition)
Agricola: Bubulcus Deck,1,6,60,120,2018,12,7.72,Agricola (Revised Edition)
Agricola: Changelings,1,5,30,150,2018,12,8.44,Agricola (Revised Edition)
Agricola: Farmers of the Moor,1,4,30,120,2018,12,8,Agricola (Revised Edition)
Agricola Game Expansion: Blue,,,30,120,2017,14,7.84,Agricola (Revised Edition)
Agricola Game Expansion: Green,,,30,120,2017,14,9,Agricola (Revised Edition)
Agricola Game Expansion: Purple,,,30,120,2017,14,7.28,Agricola (Revised Edition)
Agricola Game Expansion: Red,,,30,120,2017,14,9.91,Agricola (Revised Edition)
Agricola Game Expansion: White,,,30,120,2017,14,7.68,Agricola (Revised Edition)
Agricola Game Expansion: Yellow,,,30,120,2017,14,9,Agricola (Revised Edition)
Descent: Journeys in the Dark (Second Edition) – Lost Legends Expansion Pack,2,5,120,,2019,14,9.89,Descent: Journeys in the Dark (Second Edition)
Descent: Journeys in the Dark (Second Edition) – Road to Legend,1,4,,,2016,,7.31,Descent: Journeys in the Dark (Second Edition)
Descent: Journeys in the Dark (Second Edition) – Shards of Everdark,2,5,120,,2016,14,9  ,Descent: Journeys in the Dark (Second Edition)
Descent: Journeys in the Dark (Second Edition) – Stewards of the Secret,2,5,120,,2016,14,9.83,Descent: Journeys in the Dark (Second Edition)
Descent: Journeys in the Dark (Second Edition) – The Chains That Rust,2,5,120,,2016,10,9.57,Descent: Journeys in the Dark (Second Edition)
Descent: Journeys in the Dark (Second Edition) – Ardus IxErebus Lieutenant Pack,2,5,120,,2015,14,8.89,Descent: Journeys in the Dark (Second Edition)
Descent: Journeys in the Dark (Second Edition) – Bonds of the Wild,2,5,120,,2015,14,7.26,Descent: Journeys in the Dark (Second Edition)
Descent: Journeys in the Dark (Second Edition) – Dark Elements,1,4,60,120,2015,14,8.02,Descent: Journeys in the Dark (Second Edition)
Descent: Journeys in the Dark (Second Edition) – Heirs of Blood,2,5,,,2015,14,9.47,Descent: Journeys in the Dark (Second Edition)
Descent: Journeys in the Dark (Second Edition) – Kyndrithul Lieutenant Pack,2,5,120,,2015,14,8.73,Descent: Journeys in the Dark (Second Edition)
Garphill Games 5-Year Anniversary Promo Pack,,,,,2019,,7.24,Raiders of the North Sea
Raiders of the North Sea: Garphill Games 5-Year Anniversary Promos,2,4,60,120,2019,12,9.23,Raiders of the North Sea
Raiders of the North Sea: Ceedee Promo Card,2,4,60,120,2018,12,8,Raiders of the North Sea
Raiders of the North Sea: Fields of Fame,2,5,60,90,2018,12,9.55,Raiders of the North Sea
Raiders of the North Sea: Hall of Heroes,2,5,60,90,2018,12,8.51,Raiders of the North Sea
Raiders of the North Sea: Jarl Promo,2,6,60,80,2018,12,9.28,Raiders of the North Sea
Raiders of the North Sea: Outsiders,2,4,60,80,2018,12,7.78,Raiders of the North Sea
Raiders of the North Sea: Solo Variant,1,1,30,50,2018,12,8.09,Raiders of the North Sea
Raiders of the North Sea: The Meeple Men Promo Card,2,4,60,120,2018,12,9.25,Raiders of the North Sea
Raiders of the North Sea: The Mico Promo,2,4,60,80,2017,12,7.97,Raiders of the North Sea
Stone Age: The Mammoth Herd,2,4,50,80,2017,,8.66,Stone Age
Stadt Land Spielt Limitierte Sonderdrucke 2013,,,,,2013,,7.82,Stone Age
Stone Age: Casino,2,5,60,,2013,10,7.98,Stone Age
Schmuck und Handel (fan expansion for Stone Age),2,6,60,180,2011,10,7.29,Stone Age
Stone Age: The Expansion,2,5,60,90,2011,13,9.03,Stone Age
Stone Age: The New Huts,2,4,60,,2008,,7.43,Stone Age
Alchemists: The Kings Golem,2,4,120,,2016,14,8.07,Alchemists
Alchemists: Publisher,2,4,120,,2015,13,9,Alchemists
Alchemists: Ring of Favor,2,4,90,,2014,13,7.58,Alchemists
Yokohama: Achievements & Free Agents Promo,2,4,,,2017,,8.45,Yokohama
Aeons End: Buried Secrets,1,4,60,,2019,14,8.37,Aeons End
Aeons End: Echo Stone and Splinter Missile Promo,1,4,45,90,2019,14,9.64,Aeons End
Aeons End: The Ancients,1,4,60,,2019,14,9,Aeons End
Aeons End: Thieving Spirit,1,4,60,,2018,14,9.38,Aeons End
Aeons End: Tabletop Day 2017 Promos – Drown in Flames / Glyph Enigma,1,4,60,,2017,14,8.15,Aeons End
Aeons End: The Nameless,1,4,60,,2017,14,8.18,Aeons End
Aeons End: The Outer Dark,1,4,60,,2017,14,9,Aeons End
Aeons End: The Void,1,4,60,,2017,14,9.86,Aeons End
Aeons End: War Eternal – Promo Pack,1,4,60,,2017,14,7,Aeons End
Aeons End: Fleeting Vision Promo,1,4,60,,2016,14,9.14,Aeons End
Star Realms: Command Deck – Lost Fleet,2,4,20,,2018,12,8,Star Realms
Star Realms: Command Deck – The Alignment,2,4,20,,2018,12,8,Star Realms
Star Realms: Command Deck – The Alliance,2,4,20,,2018,12,9,Star Realms
Star Realms: Command Deck – The Coalition,2,4,20,,2018,12,7.21,Star Realms
Star Realms: Command Deck – The Pact,2,4,20,,2018,12,9.66,Star Realms
Star Realms: Command Deck – The Union,2,4,20,,2018,12,8.86,Star Realms
Star Realms: Command Deck – The Unity,2,4,20,,2018,12,9.93,Star Realms
Star Realms: Frontiers – Kickstarter Promos,1,4,20,45,2018,12,8.43,Star Realms
Star Realms: Merc Destroyer Promo Card,2,2,20,,2018,12,7.94,Star Realms
Star Realms: Merc Tower Promo Card,2,2,20,,2018,12,8.15,Star Realms
War of the Ring: Scenario – The Breaking of the Fellowship,2,4,120,180,2012,14,8.34,War of the Ring (First Edition)
War of the Ring: Battles of the Third Age,2,4,180,,2006,12,9.98,War of the Ring (First Edition)
Legendary Encounters: An Alien Deck Building Game Expansion,1,5,45,,2016,14,7.28,Legendary Encounters: An Alien Deck Building Game
Legendary Encounters: ALIEN Conversion Kit,1,5,45,120,2015,17,9.79,Legendary Encounters: An Alien Deck Building Game
Champions of Midgard: Asian Monsters,2,4,60,90,2018,10,8.75,Champions of Midgard
Champions of Midgard: Bjorn Hammerblow the Fantastic promo,2,4,60,90,2018,10,8.11,Champions of Midgard
Champions of Midgard: Gullinkambi Public Boat Promo,2,4,60,90,2018,10,8.19,Champions of Midgard
Champions of Midgard: Meeple Monster Promo Card,2,4,60,90,2018,10,7.49,Champions of Midgard
Champions of Midgard: Mercenaries Land Journey Promo Card,2,4,60,90,2018,10,7.28,Champions of Midgard
Champions of Midgard: Merchant Ship Promo Cards,2,4,60,90,2018,10,7.67,Champions of Midgard
Champions of Midgard: Shipwreck Journey Promo Cards,2,4,60,90,2018,10,8.32,Champions of Midgard
Champions of Midgard: Draudan and Bergrisar King Promo Cards,2,4,60,90,2017,10,9.83,Champions of Midgard
Champions of Midgard: Jarl Edition,2,5,60,90,2017,10,9.28,Champions of Midgard
Champions of Midgard: The Dark Mountains,2,5,60,90,2017,10,7.83,Champions of Midgard
Castles of Mad King Ludwig: Secrets,1,4,45,90,2015,13,7,Castles of Mad King Ludwig
Zamki szalonego króla Ludwika: Polskie zamki,1,4,90,,2015,13,8.33,Castles of Mad King Ludwig
Camel Up: The Referee Camel & Istanbul – Caravan Leader Mini Expansion,,,,,2017,,7.36,Istanbul
Brettspiel Adventskalender 2016,,,,,2016,,7.41,Istanbul
Istanbul: Caravan Leader Mini Expansion,,,,,2016,,9.81,Istanbul
Istanbul: Letters & Seals,2,5,40,60,2016,10,8.02,Istanbul
Istanbul: Pegasus Depot Mini Expansion,2,5,40,60,2016,10,8.21,Istanbul
Istanbul: Mocha & Baksheesh,2,5,40,60,2015,10,9.72,Istanbul
Istanbul: Kebab Shop Mini Expansion,2,5,50,,2014,10,8.02,Istanbul
A Game of Thrones: The Board Game (Second Edition) – Mother of Dragons,3,8,120,240,2018,14,9.35,A Game of Thrones: The Board Game (Second Edition)
